ꀀ | Chinese: 1. pron. 我的（引述式） | 2. v. (1) 有；存在（多指房屋或容器中有某物） (2) 居住 (3) 睡觉
ꀀ ꀕ | Chinese: 1. pron. 我自己（引述式）
ꎼ ꃏ | Chinese: 1. n. 凶兆；不祥之兆（迷信）
ꎼ ꈎ | Chinese: 1. n. 今年
ꎽ | Chinese: 1. aux. 使；让
ꎽ ꆊ | Chinese: 1. adj. 深灰色（指马）
ꎽ ꐎ | Chinese: 1. adj. 浅蓝色
ꎾ ꃝ | Chinese: 1. n. 湖泊
ꎿ | Chinese: 1. n. 海湖 | 2. v. (1) 脱落 (2) 跌（膘） (3) （腹）泻 (4) 过（溜索桥）
ꎿ ꂽ | Chinese: 1. n. 海军
ꎿ ꃀ | Chinese: 1. n. 大海
ꎿ ꋮ | Chinese: 1. n. 海边；海岸
ꎿ ꋴ | Chinese: 1. n. 海边；海岸
ꏀ | Chinese: 1. v. (1) 躺下（使动） (2) 睡（使动） (3) 拧 | 2. adj. (1) 新 (2) 年轻 (3) 扭曲的
ꏀ ꈜ | Chinese: 1. n. 纹路
ꏀ ꏿ | Chinese: 1. v. 发酵
ꏁ ꀠ | Chinese: 1. adj. 黄（指树叶）；金黄色（指庄稼、油菜花）
ꏁ ꀧ ꋍ | Chinese: 1. adj. 橙黄色
ꏁ ꇅ | Chinese: 1. adj. 黄灿灿
ꏂ | Chinese: 1. v. (1) 扭 (2) 搓 (3) 谋 | 2. n. (1) 黄金；金子 (2) 蛇 | 3. adj. 黄色 | 4. cl. 升
ꏁ | Chinese: 1. cl. 升
ꏂ ꃴ | Chinese: 1. n. 蓝披毡（文学语）
ꏂ ꄿ | Chinese: 1. adj. 金条
ꏂ ꆈ | Chinese: 1. n. 黑披毡
ꏂ ꇫ | Chinese: 1. v. 计谋；设法；策划
ꏂ ꍷ | Chinese: 1. n. 垃圾
ꏂ ꐎ | Chinese: 1. n. 白披毡（文学语）
ꏃ | Chinese: 1. num. 七 | 2. v. (1) 带领；领导 (2) 送行 (3) 带（孩子） (4) 下（崽） (5) 洒（在地上）
ꏃ ꂠ | Chinese: 1. v. 领导
ꏃ ꃅ | Chinese: 1. n. 宇宙
ꏃ ꃅ ꉜ ꐨ | Chinese: 1. n. 宇宙观
ꏃ ꃅ ꉬ ꉎ | Chinese: 1. n. 上天（宇宙的上方）（文学语）；天堂
ꏃ ꃅ ꉬ ꐮ | Chinese: 1. n. 世上（宇宙的上方）（文学语）
ꏃ ꈁ | Chinese: 1. n. 干粮
ꏃ ꊪ | Chinese: 1. n. 手枪
ꏃ ꊰ | Chinese: 1. n. 众人；大众（文学语）
ꏃ ꌋ | Chinese: 1. n. 领袖；领导
ꏃ ꎎ | Chinese: 1. n. 火炭（燃烧中的木炭）
ꏃ ꎖ | Chinese: 1. n. 圣乍
ꏃ ꎭ | Chinese: 1. v. 送行
ꏄ ꍿ | Chinese: 1. n. 强盗；盗匪
ꏅ | Chinese: 1. v. (1) 撕 (2) 叫
ꏆ | Chinese: 1. v. 让
ꏇ ꑐ | Chinese: 1. adj. 吵闹
ꏈ | Chinese: 1. v. 闹；囔
ꏈ ꃃ | Chinese: 1. n. 钹
ꏈ ꇤ | Chinese: 1. v. 争吵；争执
ꏌ | Chinese: 1. v. 扳动（枪栓）
ꏍ | Chinese: 1. v. (1) 交叉；交错 (2) 打赌
ꏎ ꉘ | Chinese: 1. adj. 愁眉苦脸
ꏎ ꏸ | Chinese: 1. v. 节约
ꏏ | Chinese: 1. v. 节约
ꏒ | Chinese: 1. v. 惹（人）
ꏓ | Chinese: 1. v. 聚起来；集中；收集；打（柴） | 2. n. (1) 慢性病 (2) 病包（指久病者）
ꏓ ꂱ | Chinese: 1. n. 人民
ꏓ ꈌ | Chinese: 1. n. 集中处
ꏓ ꈹ | Chinese: 1. v. 收拢；收集
ꏓ ꋋ | Chinese: 1. v. （人）到齐
ꏔ ꃹ | Chinese: 1. n. 小襟
ꏖ | Chinese: 1. adj. 倒霉 | 2. v. 惹（挑衅性的） | 3. n. 兆头
ꏗ | Chinese: 1. v. (1) 恃（靠）；凭借 (2) 仗势 (3) 负隅（顽抗） (4) 表（功） (5) 套（獐子）；（交叉）捆绑
ꏙ | Chinese: 1. v. (1) 修（枝）；砍 (2) 铲（田坎） (3) （轻）桩
ꏙ ꄁ | Chinese: 1. v. (1) （轻）桩 (2) 欺凌；责难；打骂
ꏚ | Chinese: 1. v. (1) 喜好；爱；嗜好 (2) （不）认（人） (3) 保 (4) 作保；保释
ꏛ ꌺ | Chinese: 1. n. 嫡子
ꏜ | Chinese: 1. adv. 早 | 2. n. 草
ꏜ ꁧ | Chinese: 1. n. 干草
ꏜ ꂾ | Chinese: 1. n. 嫡女
ꏜ ꉙ | Chinese: 1. n. 草绳
ꏜ ꏂ ꁭ ꆮ | Chinese: 1. n. 燕子
ꏜ ꑳ | Chinese: 1. n. 草房
ꏝ | Chinese: 1. n. 污垢 | 2. v. (1) 弄脏 (2) （轻）划
ꏝ ꂮ | Chinese: 1. n. 污垢
ꏝ ꅑ ꂮ ꅑ | Chinese: 1. adj. 有污垢
ꏝ ꅿ | Chinese: 1. adj. 有汗臭味
ꏝ ꐛ | Chinese: 1. adj. 有污垢
ꏟ ꈯ ꀕ | Chinese: 1. adv. (1) 使劲 (2) 扎扎实实
ꏠ | Chinese: 1. cl. (1) 驮 (2) 种类；级 | 2. v. 磨（刀） | 3. n. 缎子
ꏠ ꇑ | Chinese: 1. n. 磨刀石
ꏠ ꈭ | Chinese: 1. n. 瘦子
ꏠ ꏂ ꃭ ꇁ | Chinese: 1. n. 斗篷；擦尔瓦
ꏠ ꐕ | Chinese: 1. n. 机器
ꏡ ꁈ | Chinese: 1. n. 办法；方法；措施
ꏡ ꁧ | Chinese: 1. adj. 瘦
ꏡ ꃏ | Chinese: 1. v. 分开
ꏡ ꄂ | Chinese: 1. adj. 细长（直立）（植物）
ꏡ ꉻ | Chinese: 1. v. 区分（开）
ꏡ ꏢ | Chinese: 1. n. 豆荚
ꏢ | Chinese: 1. cl. 条（路等）；根（绳子等）；个（碗、牙等）；头（牛）；支；段（时间） | 2. adj. 酸 | 3. v. (1) 禁止 (2) 筛 (3) 削 (4) 纳
ꏡ | Chinese: 1. cl. 条（路等）；根（绳子等）；个（碗、牙等）；头（牛）；支；段（时间）
ꏢ ꀺ | Chinese: 1. n. 侧面；旁边
ꏢ ꁧ | Chinese: 1. n. 酸菜（叶子）
ꏢ ꁮ | Chinese: 1. n. 旁边
ꏢ ꅿ | Chinese: 1. adj. 有馊味
ꏢ ꇈ | Chinese: 1. v. 限制；不允许
ꏢ ꉨ | Chinese: 1. aux. 打算
ꏢ ꏬ | Chinese: 1. v. 煮酸菜汤
ꏢ ꏽ | Chinese: 1. v. 腌（菜）
ꏢ ꒉ | Chinese: 1. n. 酸水（指泡菜水）
ꏣ | Chinese: 1. v. (1) 秤 (2) 收拢；集中 (3) 割（成条形）；割、拉（肋条肉） (4) 缠绕 (5) 笼罩（雾顺山势） | 2. gr. 如；及；一样 | 3. adj. 一对一 | 4. cl. 斤 | 5. n. (1) 绳子（文学语） (2) 亲戚（关系）
ꏣ ꄀ | Chinese: 1. v. 拴
ꏣ ꄿ | Chinese: 1. n. 秤杆
ꏣ ꅔ | Chinese: 1. v. 庇护
ꏣ ꇓ | Chinese: 1. n. 秤砣
ꏣ ꌺ | Chinese: 1. n. （镶在衣服上的）滚条；花边
ꏣ ꏑ | Chinese: 1. v. 收集；收拢
ꏣ ꑟ | Chinese: 1. n. 亲戚；家门
ꏤ | Chinese: 1. n. (1) 家（不单独用） (2) 规定 | 2. v. (1) 约（定）订；（公约制度等） (2) 刻（记号）
ꏤ ꄉ | Chinese: 1. v. 决定；约定
ꏤ ꅇ | Chinese: 1. n. 决议
ꏤ ꏅ | Chinese: 1. n. 披毡
ꏤ ꏅ ꃭ ꇁ | Chinese: 1. n. 斗篷；绸擦尔瓦
ꏤ ꐚ | Chinese: 1. v. 偏倒；倒伏（多指竖在地里的荞捆）
ꏤ ꐪ | Chinese: 1. n. 公约；条约
ꏤ ꐪ ꁨ | Chinese: 1. adj. 守信用
ꏥ ꁧ | Chinese: 1. adj. 消瘦
ꏥ ꇽ | Chinese: 1. v. (1) 决断；裁决 (2) 离婚
ꏥ ꏦ | Chinese: 1. n. 原则
ꏦ | Chinese: 1. v. (1) 驮；扛 (2) 押 (3) 夹 (4) 达；到；接上 (5) 怕 (6) 烧（火）；生（火） | 2. n. (1) 道理 (2) 规矩 (3) 架子
ꏦ ꀑ | Chinese: 1. n. 街头
ꏦ ꀕ | Chinese: 1. adv. 仅
ꏦ ꀨ | Chinese: 1. n. 绳子
ꏦ ꀱ | Chinese: 1. n. 扁柜
ꏦ ꀻ | Chinese: 1. n. 夹板（多指夹披毡的公具）
ꏦ ꂪ | Chinese: 1. n. 巷尾；市梢
ꏦ ꃀ | Chinese: 1. n. 宪法
ꏦ ꃅ | Chinese: 1. n. 驮马
ꏦ ꃤ | Chinese: 1. n. 法律；政策；法令
ꏦ ꃴ | Chinese: 1. n. （斜坡中纬）横面
ꏦ ꄻ | Chinese: 1. v. 打扮
ꏦ ꈜ | Chinese: 1. n. 街道
ꏦ ꉙ | Chinese: 1. n. 皮条
ꏦ ꊀ | Chinese: 1. n. 驮鞍
ꏦ ꌤ | Chinese: 1. n. 工具（泛指）
ꏦ ꍠ | Chinese: 1. n. 丝绸（泛指）
ꏦ ꎫ | Chinese: 1. n. 街道；街上
ꏦ ꎭ | Chinese: 1. n. 肋骨
ꏦ ꏪ | Chinese: 1. n. 陡坡
ꏦ ꑳ | Chinese: 1. n. 监狱
ꏧ | Chinese: 1. adj. 假
ꏧ ꄔ | Chinese: 1. n. 四季豆
ꏧ ꇁ | Chinese: 1. adj. 下垂
ꏧ ꇽ | Chinese: 1. v. (1) 割断绳子 (2) 阉；劁（母猪）
ꏧ ꑸ | Chinese: 1. v. 吹捧；奉承
ꏩ ꏪ | Chinese: 1. n. 遍地（都是）；到处（都是）
ꏪ | Chinese: 1. v. (1) 压 (2) 拍（并、手等） (3) 劈（木）
ꏪ ꅐ | Chinese: 1. adj. 糟糕 | 2. n. 废物（指人）
ꏪ ꇅ | Chinese: 1. adj. 零星（地）
ꏪ ꇽ | Chinese: 1. v. 撕破（衣服等）（使动）
ꏪ ꈘ | Chinese: 1. v. 破烂（指衣服）
ꏪ ꈜ | Chinese: 1. n. 跑道；赛马场
ꏪ ꎓ | Chinese: 1. v. 破烂（多指衣服）（自动）
ꏪ ꐦ | Chinese: 1. n. 昭觉（地名）
ꏫ ꆱ | Chinese: 1. adj. （个子）矮小
ꏬ | Chinese: 1. v. 煮 | 2. n. 鹰 | 3. cl. 块（地）
ꏬ ꆉ | Chinese: 1. n. 鹰
ꏬ ꏮ ꀉ ꑐ | Chinese: 1. n. 猫（文学语）
ꏭ | Chinese: 1. gr. 向；对
ꏭ ꀋ ꋌ | Chinese: 1. v. 比…好
ꏭ ꁏ | Chinese: 1. v. 转变；悔过
ꏭ ꁮ | Chinese: 1. cer. 可能；好像
ꏭ ꃅ ꐙ | Chinese: 1. cer. …的样子；好像
ꏭ ꏦ | Chinese: 1. n. 常规；法则
ꏭ ꐛ | Chinese: 1. cer. 可能；也许
ꏮ | Chinese: 1. v. (1) 闩 (2) 转 (3) （旋）割 (4) 缴获；交 | 2. cl. 圈 | 3. n. 阳痿病
ꏮ ꄀ | Chinese: 1. v. 交代；委托（工作）
ꏮ ꇉ | Chinese: 1. n. 轮子；轱辘
ꏮ ꋧ | Chinese: 1. n. 过年期间
ꏯ | Chinese: 1. gr. 向；对 | 2. n. 边 | 3. cl. 个（整个饼子等） | 4. v. 松
ꏯ ꇉ ꏭ ꇉ | Chinese: 1. adj. 松松垮垮
ꏯ ꇊ ꆜ | Chinese: 1. v. （突然）瘫软（由于受某种刺激所致）
ꏯ ꈩ ꀕ | Chinese: 1. v. 松；放松 | 2. adj. 轻松（工作；活儿）
ꏰ | Chinese: 1. n. 云雀（文学语） | 2. v. 觑（闭只眼）；闭着一只眼睛
ꏱ ꅉ | Chinese: 1. n. 管理机关；管理的地方
ꏱ ꇺ | Chinese: 1. v. 指挥
ꏲ | Chinese: 1. n. 铃 | 2. v. (1) 管 (2) 使
ꏲ ꂠ | Chinese: 1. v. 管理
ꏲ ꄸ | Chinese: 1. n. 管区
ꏲ ꌋ | Chinese: 1. n. 负责人
ꏴ ꆜ ꏯ ꆜ | Chinese: 1. adj. 松垮（指工具）
ꏴ ꍅ ꀕ | Chinese: 1. adj. 聪明伶俐
ꏴ ꏵ | Chinese: 1. n. (1) 仁（果核里） (2) 骨髓
ꏴ ꑐ ꀕ | Chinese: 1. adj. 笔直；挺拔
ꏵ | Chinese: 1. n. 骨髓 | 2. v. 怪；归咎于
ꏵ ꀠ | Chinese: 1. v. (1) 对调 (2) 颠倒
ꏶ | Chinese: 1. v. (1) 拍 (2) 抽打 (3) 辫；编 (4) 逛（大街）散步；走（在山坡上横走） (5) 粘（锅）；粘贴 (6) 吮 (7) 卡壳（枪）
ꏷ ꄂ | Chinese: 1. v. 漆
ꏷ ꇅ | Chinese: 1. adj. 清澈；清明；透明
ꏷ ꌬ | Chinese: 1. adj. 亮晶晶
ꏷ ꐥ | Chinese: 1. adj. 光滑发亮
ꏸ | Chinese: 1. n. (1) 胆；胆囊 (2) 漆 (3) 星 | 2. v. (1) 漆 (2) 触怒 (3) 游（泳） (4) 熬 (5) 浸
ꏸ ꁧ | Chinese: 1. n. 漆树
ꏸ ꇖ | Chinese: 1. adj. 紧
ꏸ ꏦ | Chinese: 1. adj. 胆怯；害怕
ꏸ ꑭ | Chinese: 1. n. 脚；腿
ꏹ | Chinese: 1. v. (1) （快）奔 (2) 响箭；俯冲 (3) 慰问；安慰
ꏹ ꑮ | Chinese: 1. n. 草鞋；麻袜
ꏻ | Chinese: 1. v. (1) 溜；滑；脱 (2) 揉；搓
ꏼ | Chinese: 1. cl. 把（刀、锄头等） | 2. v. 掰；掰坏
ꏼ ꑳ | Chinese: 1. n. 竹房
ꏽ | Chinese: 1. adv. 同时
ꏽ ꏾ | Chinese: 1. n. 叶子
ꏾ | Chinese: 1. aux. 想；想要 | 2. n. 叶子 | 3. cl. 页；张 | 4. v. 推（磨）
ꏽ | Chinese: 1. cl. 页；张
ꏾ ꁒ | Chinese: 1. n. 生姜
ꏾ ꂪ | Chinese: 1. n. 末端
ꏾ ꈌ | Chinese: 1. n. 羌活（草药）
ꏾ ꋒ | Chinese: 1. n. 臀部
ꏾ ꌌ | Chinese: 1. v. 哆嗦
ꏾ ꏂ | Chinese: 1. n. 叶子黄；黄叶 | 2. v. 歪斜
ꏾ ꑳ | Chinese: 1. adj. 下肢瘫痪
ꏿ | Chinese: 1. n. 蛋 | 2. v. (1) 下（蛋） (2) 撒（种）；播种 (3) 分 (4) 咒骂 (5) 点（豆腐等） (6) 擀（毡） (7) 铸（铧口等） | 3. cl. (1) 顿（饭） (2) 阵（活儿）
ꏿ ꆺ ꀮ | Chinese: 1. adj. 椭圆形
ꏿ ꇬ | Chinese: 1. n. 蛋壳（孵出小鸡后的）
ꏿ ꏂ | Chinese: 1. n. 蛋黄
ꏿ ꐎ | Chinese: 1. n. 蛋白
ꐀ | Chinese: 1. v. 中暑（指猪）
ꐀ ꄧ | Chinese: 1. n. 坎上
ꐂ | Chinese: 1. v. (1) 跳 (2) 劁
ꐂ ꀜ | Chinese: 1. n. 跛子；瘸子
ꐂ ꁏ | Chinese: 1. v. 翘（木器）
ꐂ ꇓ | Chinese: 1. n. 磨子
ꐂ ꋇ | Chinese: 1. n. 羌族
ꐃ ꆆ | Chinese: 1. adv. 硬是
ꐅ ꀘ | Chinese: 1. v. 拆散；搞垮
ꐅ ꄻ | Chinese: 1. v. 拆
ꐆ | Chinese: 1. v. 拆；垮（使动） | 2. n. (1) 血债 (2) 脐带 (3) 外生殖器
ꐆ ꁯ ꄸ | Chinese: 1. n. 肚脐眼
ꐆ ꎹ | Chinese: 1. v. 讨还血债；报仇
ꐆ ꑻ | Chinese: 1. n. （露天）羊栏
ꐈ | Chinese: 1. adj. 滑头；狡猾 | 2. v. (1) 变 (2) 咬；（马）咬
ꐈ ꋓ | Chinese: 1. adj. 狡猾
ꐉ | Chinese: 1. v. 有（指整体中搀杂有…）
ꐊ | Chinese: 1. v. (1) 有（指整体中搀杂有…） (2) 同；跟 (3) 参加
ꐊ ꑭ | Chinese: 1. n. 随员
ꐋ | Chinese: 1. n. 伙伴；朋友（文学语） | 2. v. (1) 站（倾向） (2) 支持；倾向
ꐋ ꀨ | Chinese: 1. n. 朋友；同伴；伙伴；
ꐋ ꀨ ꐥ ꊈ | Chinese: 1. n. 朋友
ꐋ ꂿ ꈬ | Chinese: 1. v. （对人）热情；好客
ꐌ ꇗ ꀕ | Chinese: 1. v. (1) （挣扎） (2) 突然昏倒
ꐍ ꆈ | Chinese: 1. n. 曲诺（指过去凉山奴隶社会的一个阶层）
ꐍ ꆽ ꀕ | Chinese: 1. adj. 明亮（指月亮）
ꐍ ꇠ | Chinese: 1. n. 银领牌
ꐍ ꈘ | Chinese: 1. n. 碎银
ꐍ ꈯ | Chinese: 1. n. 银耳环
ꐍ ꋩ ꇔ ꇷ | Chinese: 1. n. 银匠
ꐍ ꌺ | Chinese: 1. n. 白彝（男性）
ꐎ | Chinese: 1. n. (1) 银子 (2) 白彝 | 2. adj. 白色
ꐎ ꆫ | Chinese: 1. n. 银耳珠
ꐎ ꉺ | Chinese: 1. n. 白彝（族）
ꐎ ꏂ | Chinese: 1. n. 金银
ꐎ ꏡ | Chinese: 1. n. 戥子
ꐎ ꑟ | Chinese: 1. n. 银线
ꐏ | Chinese: 1. v. 守
ꐏ ꁇ | Chinese: 1. v. 守卫
ꐏ ꄿ | Chinese: 1. n. 秸；梗（指包谷等）
ꐏ ꇐ | Chinese: 1. n. 国防
ꐏ ꈤ | Chinese: 1. n. 带床的窝棚
ꐏ ꑳ | Chinese: 1. n. 窝棚
ꐐ ꑻ | Chinese: 1. v. 铲（草皮等）
ꐑ | Chinese: 1. cl. 拃 | 2. v. (1) 量 (2) 铲（草） (3) 剃（头）
ꐐ | Chinese: 1. cl. 拃 
ꐒ | Chinese: 1. v. (1) 抄写；照抄 (2) 削；剥（皮） (3) 捆 (4) 忧愁；担心；发愁；担忧
ꐒ ꄳ | Chinese: 1. v. 气晕
ꐒ ꅐ ꊀ ꅐ | Chinese: 1. v. 解愁；消愁
ꐒ ꈄ | Chinese: 1. v. 捆绑
ꐒ ꊀ | Chinese: 1. adj. 忧愁
ꐒ ꏣ | Chinese: 1. n. (1) 绳子（多指剪羊毛时捆羊子用的） (2) 忧愁
ꐓ ꌦ | Chinese: 1. adj. (1) 有盐味 (2) 甜丝丝
ꐓ ꐷ | Chinese: 1. v. 花费（一般指待客的耗费）
ꐓ ꑆ ꐣ ꁙ | Chinese: 1. n. 腰包（男人专用，麂子皮做的）
ꐔ | Chinese: 1. adj. 甜 | 2. v. (1) 折断 (2) 抬 (3) 屙；拉屎 | 3. n. (1) 麂子 (2) 屎
ꐔ ꂱ ꉧ | Chinese: 1. n. 画眉
ꐔ ꄀ | Chinese: 1. v. 烧（使动）
ꐔ ꅑ | Chinese: 1. v. 烧（自动）
ꐔ ꏼ | Chinese: 1. v. 斥责；训斥
ꐕ | Chinese: 1. v. (1) 放；置 (2) 提（高）举；垫高 (3) 放；撂 (4) 承受得了；禁得住 (5) 容（忍） | 2. adj. 耐（塞；饿） | 3. cl. 节
ꐕ ꆊ | Chinese: 1. n. 大麂子；黑麂子
ꐕ ꇰ ꀡ ꅝ | Chinese: 1. adj. 莽撞（卤莽）
ꐖ ꅉ | Chinese: 1. n. 火葬场
ꐗ | Chinese: 1. v. 烧
ꐗ ꄁ | Chinese: 1. v. 火葬
ꐘ | Chinese: 1. cl. (1) 方面；项；件 (2) 件（指事件、案件等）
ꐘ ꁨ | Chinese: 1. adj. 清楚（指听清楚、事情弄清楚等）
ꐙ ꁏ | Chinese: 1. n. 奴隶
ꐙ ꄏ | Chinese: 1. adj. 疲倦；疲乏；累
ꐙ ꌺ | Chinese: 1. n. 奴隶
ꐙ ꎴ | Chinese: 1. v. （病）痊愈
ꐚ | Chinese: 1. n. (1) 蜂 (2) 奴隶 (3) 敌人 | 2. cl. 顿 | 3. v. (1) 知道 (2) 懂 (3) 树敌 (4) 倒 (5) 飞 | 4. adj. (1) 清 (2) 瘦（弱）
ꐙ | Chinese: 1. cl. 顿 
ꐚ ꀕ | Chinese: 1. adv. 另外
ꐚ ꀕ ꈠ ꀕ | Chinese: 1. adv. 明确的
ꐚ ꀧ | Chinese: 1. n. 蜂包；马蜂窝
ꐚ ꁦ ꄹ ꏦ | Chinese: 1. n. 奴隶制度
ꐚ ꁦ ꌋ | Chinese: 1. n. 奴隶主
ꐚ ꈴ ꃅ ꈴ | Chinese: 1. v. 穿梭；如蜜蜂往来飞舞
ꐚ ꒉ | Chinese: 1. n. 蜂蜜
ꐛ | Chinese: 1. gr. 变成 | 2. adj. 满 | 3. v. (1) 成功 (2) 有；存在；在（多用于指山、河等自然物和建筑物等固定的东西） (3) 摸；碰 (4) （鸟、飞机）降落 (5) 下 (6) 嫁 (7) 许配 (8) （拦路）抢劫
ꐛ ꀕ | Chinese: 1. v. 成功
ꐛ ꁓ | Chinese: 1. n. 蜂房
ꐛ ꂂ | Chinese: 1. adj. 健壮
ꐛ ꂨ | Chinese: 1. adj. 满登登；满满的
ꐛ ꃀ | Chinese: 1. n. 蜂王
ꐛ ꃆ ꐛ ꂮ | Chinese: 1. n. (1) 情况 (2) 作风；样子；形状
ꐛ ꃆ ꐛ ꊀ | Chinese: 1. n. 状况；式样
ꐛ ꃽ | Chinese: 1. n. 蜂蜇
ꐛ ꄟ | Chinese: 1. n. 样子；模样
ꐛ ꅉ ꐛ | Chinese: 1. v. 还原；恢复
ꐛ ꅹ | Chinese: 1. conj. 因为…所以
ꐛ ꇴ ꐛ ꉻ | Chinese: 1. n. 形状
ꐛ ꋭ | Chinese: 1. adj. 适当
ꐛ ꋽ | Chinese: 1. adj. 美观
ꐛ ꎔ | Chinese: 1. adj. 漂亮；中看
ꐛ ꎿ | Chinese: 1. n. 蜂蜡
ꐛ ꐈ | Chinese: 1. v. 变样；变化
ꐛ ꐊ | Chinese: 1. adj. 健壮而匀称
ꐛ ꐨ | Chinese: 1. n. 情况
ꐛ ꐪ | Chinese: 1. n. 形态
ꐛ ꑆ | Chinese: 1. adj. 结实
ꐛ ꑿ | Chinese: 1. n. 蜜蜂（文学语）
ꐛ ꒆ | Chinese: 1. v. 圆满；完整
ꐜ | Chinese: 1. adj. 吃亏；欠缺（盐、肉等） | 2. v. 唤（指猪等）
ꐝ ꉅ | Chinese: 1. adj. （听）明白；（搞）清楚
ꐝ ꍠ ꀕ | Chinese: 1. adj. (1) 清澈（指水） (2) 清醒 (3) 清清楚楚
ꐞ | Chinese: 1. v. (1) 燃着；燃烧 (2) 分开；离别 | 2. adj. (1) 闷倦 (2) 病（婉辞） | 3. n. 叉
ꐞ ꁖ | Chinese: 1. v. 燃得旺；燃起来（了）
ꐞ ꏅ | Chinese: 1. v. 破；撕破
ꐡ | Chinese: 1. v. (1) 垮（自动）；倒塌 (2) 砍
ꐣ ꁙ | Chinese: 1. n. 口袋；兜兜；包
ꐣ ꁙ ꇇ ꌧ | Chinese: 1. n. 三角包（女人用）
ꐤ ꁮ | Chinese: 1. aux. 可能；恐怕
ꐤ ꎭ | Chinese: 1. adj. （日子）难过；艰苦
ꐤ ꒉ | Chinese: 1. adj. 有威望
ꐥ | Chinese: 1. v. (1) 活；存在 (2) 有 (3) 负责；由…负责
ꐥ ꀋ ꋌ | Chinese: 1. adv. 不止
ꐥ ꋊ ꐥ ꍂ | Chinese: 1. adv. 永远；世世代代
ꐥ ꌒ | Chinese: 1. adj. （日子）好过；幸福
ꐥ ꍂ | Chinese: 1. n. 一辈子
ꐥ ꐨ | Chinese: 1. n. 生活
ꐦ | Chinese: 1. v. 砍（木成截） | 2. cl. 段；截 | 3. n. 平坝（文学语）
ꐦ ꀞ | Chinese: 1. n. 坪坝
ꐦ ꄂ | Chinese: 1. n. 平地
ꐧ | Chinese: 1. adj. 中等 | 2. n. 腰；中部
ꐧ ꀠ | Chinese: 1. adj. 中部；中等；中
ꐧ ꃬ | Chinese: 1. n. 腰带
ꐧ ꄜ | Chinese: 1. v. 横穿；横过
ꐧ ꆓ | Chinese: 1. adj. 腰柔软（指摔跤时灵活的人）
ꐧ ꆽ | Chinese: 1. adj. 挺腰（指胸略往后仰腰部挺直）
ꐧ ꇁ ꃰ ꊿ | Chinese: 1. n. 人类
ꐧ ꈢ ꌌ ꆅ | Chinese: 1. v. 腰酸背痛
ꐧ ꈯ | Chinese: 1. adj. 驮背
ꐧ ꉙ | Chinese: 1. n. 绳子
ꐧ ꋦ | Chinese: 1. n. 社会
ꐧ ꋦ ꃅ ꄷ | Chinese: 1. n. 人间；社会上
ꐧ ꌧ | Chinese: 1. n. 腰
ꐧ ꏀ | Chinese: 1. v. 腰扭伤
ꐧ ꐔ | Chinese: 1. v. 腰断；中部折断
ꐨ | Chinese: 1. gr. 情况（与动词、形容词结合构成名词）-
ꐩ | Chinese: 1. n. 燕麦 | 2. adv. 络绎不绝地（走）
ꐩ ꁌ | Chinese: 1. n. 燕麦糠
ꐩ ꃛ | Chinese: 1. n. 燕麦麸子
ꐩ ꅫ | Chinese: 1. n. 燕麦粑
ꐩ ꇢ | Chinese: 1. n. 中燕麦
ꐩ ꉘ | Chinese: 1. n. 燕麦糊糊
ꐩ ꊭ | Chinese: 1. n. 燕麦捆
ꐩ ꋊ | Chinese: 1. n. 历史
ꐩ ꏜ | Chinese: 1. n. 早燕麦
ꐪ | Chinese: 1. n. 痕迹
ꐪ ꆮ | Chinese: 1. n. 口哨
ꐪ ꆮ ꈌ ꑝ | Chinese: 1. n. 箫（彝族特有的一种乐器）
ꐪ ꊂ | Chinese: 1. n. 痕迹；烙印
ꐪ ꊛ | Chinese: 1. v. 继续
ꐪ ꎹ | Chinese: 1. v. 跟踪
ꐬ | Chinese: 1. n. 洞；眼；孔
ꐬ ꆠ | Chinese: 1. v. 害怕
ꐭ | Chinese: 1. n. 小的 | 2. v. 说
ꐭ ꉙ | Chinese: 1. n. 口音；腔调；方言
ꐮ | Chinese: 1. gr. 互相
ꐮ ꀠ | Chinese: 1. v. 交换
ꐮ ꂪ | Chinese: 1. v. 相接；相及
ꐮ ꄙ | Chinese: 1. v. 相抵；对立
ꐮ ꄮ | Chinese: 1. adj. (1) 和谐；友好 (2) 和平共处
ꐮ ꆦ | Chinese: 1. v. 交换；替换
ꐮ ꇖ | Chinese: 1. v. 商量
ꐮ ꇤ | Chinese: 1. v. 打架
ꐮ ꇨ ꐮ ꊋ | Chinese: 1. v. 互相斥责；互相打击施压；互相吃
ꐮ ꇷ | Chinese: 1. v. (1) 合伙；合作 (2) 互相吓唬
ꐮ ꉈ | Chinese: 1. v. 相靠
ꐮ ꋒ | Chinese: 1. v. 相遇
ꐮ ꌎ | Chinese: 1. v. 互相讥讽
ꐮ ꌕ | Chinese: 1. v. 说耳话；悄悄话
ꐮ ꌺ | Chinese: 1. n. 碎物；末子（泛指）
ꐮ ꎴ | Chinese: 1. v. 互相依赖、互相推卸
ꐮ ꐊ | Chinese: 1. adv. 一起
ꐮ ꐚ | Chinese: 1. v. 结怨
ꐮ ꑌ ꐯ ꑲ | Chinese: 1. v. 互相联系
ꐯ | Chinese: 1. adv. 很 | 2. adj. (1) 真（的）；真实 (2) 宽 | 3. gr. 互相；相互 | 4. v. 溶化 | 5. n. 铜
